Date,Price,Open,High,Low,Vol.,Change %
12/20/2021,1513.6,1519.69,1521.62,1509.54,180.13K,0.00%
12/17/2021,1513.56,1513.36,1520.97,1511.19,220.35K,0.22%
12/16/2021,1510.17,1526.63,1526.75,1501.41,187.58K,-0.61%
12/15/2021,1519.42,1516.91,1525.14,1512.05,150.69K,0.20%
12/14/2021,1516.44,1518.39,1529.93,1513.14,170.67K,-0.29%
12/13/2021,1520.8,1523.74,1526.53,1517.98,166.21K,0.09%
12/10/2021,1519.46,1528.17,1533.23,1517.59,172.57K,-0.66%
12/09/2021,1529.61,1509.4,1529.61,1509.4,141.32K,0.89%
12/08/2021,1516.16,1515.59,1523.95,1508.69,176.05K,0.23%
12/07/2021,1512.62,1493.07,1512.62,1488.13,167.56K,2.14%
12/06/2021,1480.92,1507.45,1515.47,1464.91,264.31K,-1.53%
12/03/2021,1503.98,1550.81,1551.97,1503.98,237.84K,-2.39%
12/02/2021,1540.88,1553.21,1555.49,1540.88,155.69K,-0.58%
12/01/2021,1549.81,1536.67,1549.81,1531.2,183.02K,0.79%
11/30/2021,1537.59,1567.44,1568.09,1531.82,254.25K,-0.99%
11/29/2021,1553.04,1541.22,1558.86,1541.22,270.84K,-0.86%
11/26/2021,1566.55,1576.52,1587,1564.39,286.51K,-0.38%
11/25/2021,1572.46,1573.29,1579.56,1567.67,255.69K,0.46%
11/24/2021,1565.29,1534.87,1567.77,1530.61,371.79K,2.10%
11/23/2021,1533.12,1518.39,1533.12,1513.23,173.03K,1.06%
11/22/2021,1517.04,1503.19,1530.43,1502.25,274.79K,1.13%
11/19/2021,1500.05,1507.45,1521.63,1486.59,322.63K,-0.22%
11/18/2021,1503.42,1522.39,1523.19,1503.42,256.83K,-1.06%
11/17/2021,1519.58,1517.67,1522.5,1513.65,165.54K,0.16%
11/16/2021,1517.22,1527.11,1530.32,1513.5,214.95K,-0.75%
11/15/2021,1528.68,1534.16,1534.44,1521.94,232.16K,0.05%
11/12/2021,1527.94,1514.96,1529.47,1504.52,152.56K,0.90%
11/11/2021,1514.36,1524.73,1526.72,1503.77,258.43K,-0.62%
11/10/2021,1523.79,1530.69,1531.7,1518.89,204.46K,-0.22%
11/09/2021,1527.13,1539.25,1542.75,1524.36,210.51K,-0.56%
11/08/2021,1535.66,1535.12,1541.83,1528.71,219.02K,0.25%
11/05/2021,1531.76,1531.06,1536.47,1523.16,156.55K,0.23%
11/04/2021,1528.21,1531.92,1535.9,1524.54,173.10K,-0.16%
11/03/2021,1530.65,1526.38,1537.59,1519.39,324.56K,0.61%
11/02/2021,1521.35,1514.91,1522.9,1514.75,186.41K,0.30%
11/01/2021,1516.75,1534.17,1534.88,1513.98,252.42K,-1.02%
10/29/2021,1532.35,1529.42,1534.51,1521.04,197.58K,0.20%
10/28/2021,1529.26,1522.11,1530.77,1513.12,190.78K,0.84%
10/27/2021,1516.46,1487.45,1516.46,1485.12,201.35K,2.28%
10/26/2021,1482.62,1474.36,1483.65,1467.02,143.69K,0.38%
10/25/2021,1476.97,1492.35,1492.35,1476.97,202.65K,-0.79%
10/22/2021,1488.71,1495.32,1498.25,1486.57,127.28K,-0.04%
10/21/2021,1489.26,1509.05,1510.2,1489.26,166.37K,-1.05%
10/20/2021,1505.03,1510.38,1516.74,1486.26,182.02K,-0.14%
10/19/2021,1507.19,1512.1,1513.83,1503.89,142.51K,-0.22%
10/18/2021,1510.49,1508.88,1517.7,1505.39,167.73K,0.38%
10/15/2021,1504.84,1508.37,1512.61,1499.7,151.73K,0.10%
10/14/2021,1503.38,1504.85,1511.14,1498.21,159.95K,-0.14%
10/13/2021,1505.55,1512.73,1519.11,1502.19,137.28K,-0.27%
10/12/2021,1509.57,1514.78,1517.21,1504.24,162.66K,-0.05%
10/11/2021,1510.27,1481.29,1511.21,1480.31,211.04K,2.28%
10/08/2021,1476.54,1466.78,1476.54,1463.07,137.77K,0.94%
10/07/2021,1462.74,1467.95,1470.64,1460.87,142.85K,0.07%
10/06/2021,1461.72,1461.98,1461.98,1453.78,157.61K,0.38%
10/05/2021,1456.21,1446.77,1456.37,1444.49,152.94K,0.87%
10/04/2021,1443.61,1442.87,1446.78,1433.05,220.20K,0.12%
10/01/2021,1441.83,1450.9,1453.24,1438.52,188.81K,-0.82%
09/30/2021,1453.76,1450.52,1461.94,1452.55,118.79K,0.22%
09/29/2021,1450.52,1450.73,1453.66,1440.55,169.81K,-0.04%
09/28/2021,1451.12,1433.7,1454.79,1430.89,141.16K,0.83%
09/27/2021,1439.2,1462.86,1464.5,1439.2,148.69K,-1.42%
09/24/2021,1459.94,1460.63,1464.12,1456.89,141.12K,0.12%
09/23/2021,1458.23,1456.46,1466,1453.02,138.29K,0.34%
09/22/2021,1453.22,1449.44,1454.19,1440.02,122.88K,0.48%
09/21/2021,1446.22,1444.75,1455.71,1433.77,167.22K,-0.85%
